ID,Pred
2018_1104_1112,0.256707
2018_1104_1113,0.6871663
2018_1104_1116,0.3878861
2018_1104_1120,0.31102324
2018_1104_1137,0.84642345
2018_1104_1138,0.80890006
2018_1104_1139,0.38366124
2018_1104_1153,0.20457034
2018_1104_1155,0.2838545
2018_1104_1158,0.8480926
2018_1104_1166,0.39887547
2018_1104_1168,0.8500801
2018_1104_1172,0.57919264
2018_1104_1181,0.20368525
2018_1104_1196,0.31474656
2018_1104_1199,0.40869665
2018_1104_1209,0.84820306
2018_1104_1211,0.21099287
2018_1104_1222,0.2605114
2018_1104_1233,0.8484054
2018_1104_1242,0.21005246
2018_1104_1243,0.42155093
2018_1104_1246,0.24940282
2018_1104_1252,0.8511844
2018_1104_1254,0.86812854
2018_1104_1260,0.32733837
2018_1104_1267,0.8481233
2018_1104_1274,0.39198524
2018_1104_1276,0.2132211
2018_1104_1277,0.20481335
2018_1104_1281,0.35093004
2018_1104_1285,0.82533205
2018_1104_1293,0.7536947
2018_1104_1300,0.86913925
2018_1104_1301,0.34160918
2018_1104_1305,0.3782993
2018_1104_1308,0.6257393
2018_1104_1314,0.21199976
2018_1104_1326,0.27206954
2018_1104_1328,0.43751428
2018_1104_1335,0.8478194
2018_1104_1344,0.5207681
2018_1104_1345,0.20726864
2018_1104_1347,0.8564309
2018_1104_1348,0.34449235
2018_1104_1355,0.77245754
2018_1104_1361,0.45204413
2018_1104_1371,0.3741455
2018_1104_1372,0.84821475
2018_1104_1382,0.75290716
2018_1104_1393,0.63856864
2018_1104_1395,0.32579377
2018_1104_1397,0.2337793
2018_1104_1400,0.414396
2018_1104_1401,0.38441855
2018_1104_1403,0.24000344
2018_1104_1411,0.86835635
2018_1104_1417,0.3676264
2018_1104_1420,0.85490036
2018_1104_1422,0.8380995
2018_1104_1437,0.1974649
2018_1104_1438,0.19802997
2018_1104_1439,0.41086283
2018_1104_1452,0.23057157
2018_1104_1455,0.26563856
2018_1104_1460,0.84747875
2018_1104_1462,0.23109686
2018_1112_1113,0.7487668
2018_1112_1116,0.76472265
2018_1112_1120,0.65451866
2018_1112_1137,0.84716856
2018_1112_1138,0.7531053
2018_1112_1139,0.7586616
2018_1112_1153,0.3046488
2018_1112_1155,0.5949426
2018_1112_1158,0.8711884
2018_1112_1166,0.78036976
2018_1112_1168,0.897113
2018_1112_1172,0.7414263
2018_1112_1181,0.3009579
2018_1112_1196,0.6610123
2018_1112_1199,0.7555388
2018_1112_1209,0.8627282
2018_1112_1211,0.3302031
2018_1112_1222,0.5170149
2018_1112_1233,0.8959843
2018_1112_1242,0.32677257
2018_1112_1243,0.77230537
2018_1112_1246,0.47261953
2018_1112_1252,0.89682424
2018_1112_1254,0.8644447
2018_1112_1260,0.7027956
2018_1112_1267,0.87345195
2018_1112_1274,0.77051425
2018_1112_1276,0.3383399
2018_1112_1277,0.30563295
2018_1112_1281,0.70752215
2018_1112_1285,0.7929302
2018_1112_1293,0.72919375
2018_1112_1300,0.8598723
2018_1112_1301,0.7045092
2018_1112_1305,0.7511046
2018_1112_1308,0.7458637
2018_1112_1314,0.33380505
2018_1112_1326,0.5593886
2018_1112_1328,0.72794336
2018_1112_1335,0.8885187
2018_1112_1344,0.73743474
2018_1112_1345,0.31609792
2018_1112_1347,0.891335
2018_1112_1348,0.71592146
2018_1112_1355,0.7248284
2018_1112_1361,0.7301043
2018_1112_1371,0.74536675
2018_1112_1372,0.87326163
2018_1112_1382,0.72917736
2018_1112_1393,0.74711174
2018_1112_1395,0.6788218
2018_1112_1397,0.41008887
2018_1112_1400,0.76142085
2018_1112_1401,0.759731
2018_1112_1403,0.43327218
2018_1112_1411,0.86404574
2018_1112_1417,0.7122952
2018_1112_1420,0.8938247
2018_1112_1422,0.82239145
2018_1112_1437,0.2716457
2018_1112_1438,0.2736556
2018_1112_1439,0.7919189
2018_1112_1452,0.39841163
2018_1112_1455,0.5360441
2018_1112_1460,0.89442366
2018_1112_1462,0.40021932
2018_1113_1116,0.33061898
2018_1113_1120,0.3172542
2018_1113_1137,0.849988
2018_1113_1138,0.7498303
2018_1113_1139,0.3296825
2018_1113_1153,0.19786182
2018_1113_1155,0.2921069
2018_1113_1158,0.8643416
2018_1113_1166,0.33434847
2018_1113_1168,0.8827338
2018_1113_1172,0.35883033
2018_1113_1181,0.19614686
2018_1113_1196,0.31971684
2018_1113_1199,0.34290773
2018_1113_1209,0.859847
2018_1113_1211,0.20937423
2018_1113_1222,0.26630503
2018_1113_1233,0.8828739
2018_1113_1242,0.20798126
2018_1113_1243,0.35305873
2018_1113_1246,0.2543694
2018_1113_1252,0.88189423
2018_1113_1254,0.8704593
2018_1113_1260,0.2612304
2018_1113_1267,0.865456
2018_1113_1274,0.3315417
2018_1113_1276,0.21274106
2018_1113_1277,0.19830628
2018_1113_1281,0.24886815
2018_1113_1285,0.7909923
2018_1113_1293,0.63898236
2018_1113_1300,0.87312275
2018_1113_1301,0.24866328
2018_1113_1305,0.3292756
2018_1113_1308,0.40145347
2018_1113_1314,0.2107806
2018_1113_1326,0.27907324
2018_1113_1328,0.2790449
2018_1113_1335,0.8741794
2018_1113_1344,0.32042095
2018_1113_1345,0.20333363
2018_1113_1347,0.8756893
2018_1113_1348,0.28843305
2018_1113_1355,0.6755873
2018_1113_1361,0.2855217
2018_1113_1371,0.32931647
2018_1113_1372,0.86533743
2018_1113_1382,0.63745403
2018_1113_1393,0.4169876
2018_1113_1395,0.32538858
2018_1113_1397,0.23797145
2018_1113_1400,0.34747484
2018_1113_1401,0.32976767
2018_1113_1403,0.24459387
2018_1113_1411,0.87058383
2018_1113_1417,0.25223878
2018_1113_1420,0.87697613
2018_1113_1422,0.82619756
2018_1113_1437,0.18118131
2018_1113_1438,0.18202457
2018_1113_1439,0.34423196
2018_1113_1452,0.23451665
2018_1113_1455,0.27196038
2018_1113_1460,0.88024414
2018_1113_1462,0.23510613
2018_1116_1120,0.29814592
2018_1116_1137,0.8227772
2018_1116_1138,0.7742904
2018_1116_1139,0.4771242
2018_1116_1153,0.17222717
2018_1116_1155,0.2600653
2018_1116_1158,0.82627124
2018_1116_1166,0.5493625
2018_1116_1168,0.8353055
2018_1116_1172,0.62231404
2018_1116_1181,0.17122158
2018_1116_1196,0.30399135
2018_1116_1199,0.6957289
2018_1116_1209,0.8251794
2018_1116_1211,0.17956766
2018_1116_1222,0.23211284
2018_1116_1233,0.8307339
2018_1116_1242,0.1785598
2018_1116_1243,0.6990324
2018_1116_1246,0.22037685
2018_1116_1252,0.83642805
2018_1116_1254,0.8467084
2018_1116_1260,0.61138326
2018_1116_1267,0.82637817
2018_1116_1274,0.51400244
2018_1116_1276,0.18201137
2018_1116_1277,0.172496
2018_1116_1281,0.60047364
2018_1116_1285,0.79909056
2018_1116_1293,0.7099282
2018_1116_1300,0.8502729
2018_1116_1301,0.6007478
2018_1116_1305,0.45618147
2018_1116_1308,0.63302517
2018_1116_1314,0.18063487
2018_1116_1326,0.24549016
2018_1116_1328,0.6087658
2018_1116_1335,0.827294
2018_1116_1344,0.61577773
2018_1116_1345,0.1754708
2018_1116_1347,0.84092593
2018_1116_1348,0.6398233
2018_1116_1355,0.72753775
2018_1116_1361,0.6104495
2018_1116_1371,0.44152108
2018_1116_1372,0.82626283
2018_1116_1382,0.7094936
2018_1116_1393,0.6374818
2018_1116_1395,0.32283223
2018_1116_1397,0.20373009
2018_1116_1400,0.6985541
2018_1116_1401,0.48020846
2018_1116_1403,0.21003294
2018_1116_1411,0.8469017
2018_1116_1417,0.60229903
2018_1116_1420,0.84004307
2018_1116_1422,0.8149698
2018_1116_1437,0.16353542
2018_1116_1438,0.16398956
2018_1116_1439,0.61978185
2018_1116_1452,0.20036595
2018_1116_1455,0.23766191
2018_1116_1460,0.82926756
2018_1116_1462,0.20088482
2018_1120_1137,0.85772693
2018_1120_1138,0.77061415
2018_1120_1139,0.68677616
2018_1120_1153,0.22612926
2018_1120_1155,0.41081008
2018_1120_1158,0.87082845
2018_1120_1166,0.72198516
2018_1120_1168,0.8703401
2018_1120_1172,0.6947036
2018_1120_1181,0.2235163
2018_1120_1196,0.5120017
2018_1120_1199,0.743416
2018_1120_1209,0.86761963
2018_1120_1211,0.24406333
2018_1120_1222,0.35132822
2018_1120_1233,0.87438434
2018_1120_1242,0.24164106
2018_1120_1243,0.75917476
2018_1120_1246,0.32817498
2018_1120_1252,0.8682715
2018_1120_1254,0.8560967
2018_1120_1260,0.67289025
2018_1120_1267,0.87147063
2018_1120_1274,0.7050038
2018_1120_1276,0.24974851
2018_1120_1277,0.22682752
2018_1120_1281,0.67068624
2018_1120_1285,0.7968422
2018_1120_1293,0.70189863
2018_1120_1300,0.8523058
2018_1120_1301,0.6695533
2018_1120_1305,0.6755764
2018_1120_1308,0.6949868
2018_1120_1314,0.24661444
2018_1120_1326,0.37875825
2018_1120_1328,0.6819661
2018_1120_1335,0.8750149
2018_1120_1344,0.6911212
2018_1120_1345,0.23413952
2018_1120_1347,0.8607577
2018_1120_1348,0.69215196
2018_1120_1355,0.7195824
2018_1120_1361,0.6838082
2018_1120_1371,0.66710395
2018_1120_1372,0.8713736
2018_1120_1382,0.70154816
2018_1120_1393,0.69369054
2018_1120_1395,0.5481925
2018_1120_1397,0.29561448
2018_1120_1400,0.7494751
2018_1120_1401,0.68836874
2018_1120_1403,0.30807772
2018_1120_1411,0.8559046
2018_1120_1417,0.67332673
2018_1120_1420,0.8626083
2018_1120_1422,0.8267803
2018_1120_1437,0.20278107
2018_1120_1438,0.20424207
2018_1120_1439,0.7520883
2018_1120_1452,0.28886163
2018_1120_1455,0.36259657
2018_1120_1460,0.8758905
2018_1120_1462,0.28990605
2018_1137_1138,0.2629687
2018_1137_1139,0.17808826
2018_1137_1153,0.15163432
2018_1137_1155,0.13873465
2018_1137_1158,0.62187535
2018_1137_1166,0.20187086
2018_1137_1168,0.81411433
2018_1137_1172,0.16528162
2018_1137_1181,0.1529429
2018_1137_1196,0.13730548
2018_1137_1199,0.24009827
2018_1137_1209,0.59379756
2018_1137_1211,0.14565021
2018_1137_1222,0.14577688
2018_1137_1233,0.7697498
2018_1137_1242,0.14608456
2018_1137_1243,0.2409285
2018_1137_1246,0.14847094
2018_1137_1252,0.82625127
2018_1137_1254,0.9051907
2018_1137_1260,0.22822055
2018_1137_1267,0.6287161
2018_1137_1274,0.1893142
2018_1137_1276,0.14483832
2018_1137_1277,0.1513167
2018_1137_1281,0.21441658
2018_1137_1285,0.2958616
2018_1137_1293,0.18771048
2018_1137_1300,0.91219074
2018_1137_1301,0.21811591
2018_1137_1305,0.17206608
2018_1137_1308,0.16414012
2018_1137_1314,0.14529353
2018_1137_1326,0.14212608
2018_1137_1328,0.1884823
2018_1137_1335,0.69087005
2018_1137_1344,0.17193145
2018_1137_1345,0.14811197
2018_1137_1347,0.86959004
2018_1137_1348,0.23428594
2018_1137_1355,0.20372333
2018_1137_1361,0.18537869
2018_1137_1371,0.16791505
2018_1137_1372,0.6279592
2018_1137_1382,0.18727066
2018_1137_1393,0.1643144
2018_1137_1395,0.13987187
2018_1137_1397,0.14801233
2018_1137_1400,0.24050154
2018_1137_1401,0.17901327
2018_1137_1403,0.14884976
2018_1137_1411,0.9056468
2018_1137_1417,0.20943388
2018_1137_1420,0.86024714
2018_1137_1422,0.3567111
2018_1137_1437,0.16852549
2018_1137_1438,0.16760461
2018_1137_1439,0.22444205
2018_1137_1452,0.14723402
2018_1137_1455,0.14413494
2018_1137_1460,0.74231327
2018_1137_1462,0.14736964
2018_1138_1139,0.22907737
2018_1138_1153,0.22714207
2018_1138_1155,0.22173487
2018_1138_1158,0.80679834
2018_1138_1166,0.23710878
2018_1138_1168,0.884212
2018_1138_1172,0.20750551
2018_1138_1181,0.22477975
2018_1138_1196,0.21810935
2018_1138_1199,0.28287044
2018_1138_1209,0.7898054
2018_1138_1211,0.24037515
2018_1138_1222,0.23623022
2018_1138_1233,0.8741905
2018_1138_1242,0.23906709
2018_1138_1243,0.28552365
