ID,Pred
2018_1104_1112,0.23715879
2018_1104_1113,0.60465205
2018_1104_1116,0.26977733
2018_1104_1120,0.24679786
2018_1104_1137,0.7524604
2018_1104_1138,0.7210193
2018_1104_1139,0.26736486
2018_1104_1153,0.22753012
2018_1104_1155,0.24158917
2018_1104_1158,0.75998247
2018_1104_1166,0.2788675
2018_1104_1168,0.7752737
2018_1104_1172,0.55474216
2018_1104_1181,0.22729556
2018_1104_1196,0.24759395
2018_1104_1199,0.2624143
2018_1104_1209,0.7575763
2018_1104_1211,0.22912045
2018_1104_1222,0.23774171
2018_1104_1233,0.77106464
2018_1104_1242,0.228902
2018_1104_1243,0.25256836
2018_1104_1246,0.23604962
2018_1104_1252,0.7763784
2018_1104_1254,0.7850774
2018_1104_1260,0.3329006
2018_1104_1267,0.7605733
2018_1104_1274,0.27296448
2018_1104_1276,0.22962412
2018_1104_1277,0.22759333
2018_1104_1281,0.37379307
2018_1104_1285,0.7320614
2018_1104_1293,0.6566308
2018_1104_1300,0.78432626
2018_1104_1301,0.36348453
2018_1104_1305,0.26478323
2018_1104_1308,0.5745128
2018_1104_1314,0.22935148
2018_1104_1326,0.2395983
2018_1104_1328,0.4592087
2018_1104_1335,0.7652367
2018_1104_1344,0.5251471
2018_1104_1345,0.22823213
2018_1104_1347,0.78097
2018_1104_1348,0.30829743
2018_1104_1355,0.6810166
2018_1104_1361,0.4725822
2018_1104_1371,0.26312602
2018_1104_1372,0.7605038
2018_1104_1382,0.65559614
2018_1104_1393,0.58008766
2018_1104_1395,0.2500713
2018_1104_1397,0.23350663
2018_1104_1400,0.25824288
2018_1104_1401,0.26779324
2018_1104_1403,0.23450206
2018_1104_1411,0.7850402
2018_1104_1417,0.38965353
2018_1104_1420,0.7800328
2018_1104_1422,0.7424203
2018_1104_1437,0.22547264
2018_1104_1438,0.22561851
2018_1104_1439,0.27194098
2018_1104_1452,0.23295487
2018_1104_1455,0.23852982
2018_1104_1460,0.76898104
2018_1104_1462,0.23304003
2018_1112_1113,0.7874706
2018_1112_1116,0.6801171
2018_1112_1120,0.59708226
2018_1112_1137,0.7912221
2018_1112_1138,0.7652891
2018_1112_1139,0.6753624
2018_1112_1153,0.41264492
2018_1112_1155,0.52831733
2018_1112_1158,0.79295903
2018_1112_1166,0.69262785
2018_1112_1168,0.7952656
2018_1112_1172,0.7986045
2018_1112_1181,0.4096837
2018_1112_1196,0.60225236
2018_1112_1199,0.7255396
2018_1112_1209,0.7924322
2018_1112_1211,0.42908394
2018_1112_1222,0.47464618
2018_1112_1233,0.7949671
2018_1112_1242,0.42723453
2018_1112_1243,0.7211553
2018_1112_1246,0.46456864
2018_1112_1252,0.79527557
2018_1112_1254,0.7845723
2018_1112_1260,0.75161105
2018_1112_1267,0.7930862
2018_1112_1274,0.68465424
2018_1112_1276,0.4330856
2018_1112_1277,0.41340786
2018_1112_1281,0.7754201
2018_1112_1285,0.7783629
2018_1112_1293,0.744324
2018_1112_1300,0.78429514
2018_1112_1301,0.77136576
2018_1112_1305,0.6693922
