ID,Pred
2018_3110_3113,0.18894297
2018_3110_3114,0.62024194
2018_3110_3124,0.055398133
2018_3110_3125,0.17888252
2018_3110_3129,0.5425129
2018_3110_3138,0.17998175
2018_3110_3141,0.15992717
2018_3110_3143,0.21691366
2018_3110_3163,0.071003124
2018_3110_3166,0.29741824
2018_3110_3169,0.64980626
2018_3110_3173,0.15896277
2018_3110_3177,0.055676635
2018_3110_3179,0.25106317
2018_3110_3181,0.10660382
2018_3110_3189,0.32989213
2018_3110_3195,0.15295842
2018_3110_3199,0.049295876
2018_3110_3203,0.60170174
2018_3110_3208,0.10297456
2018_3110_3211,0.3648761
2018_3110_3212,0.61453855
2018_3110_3234,0.11134808
2018_3110_3251,0.5472504
2018_3110_3257,0.0339839
2018_3110_3261,0.31707025
2018_3110_3263,0.46623006
2018_3110_3266,0.1168777
2018_3110_3268,0.06904317
2018_3110_3273,0.30575228
2018_3110_3274,0.23644236
2018_3110_3276,0.11563356
2018_3110_3278,0.096013695
2018_3110_3280,0.05006023
2018_3110_3281,0.11327064
2018_3110_3294,0.25090492
2018_3110_3299,0.6244457
2018_3110_3301,0.11283605
2018_3110_3304,0.27582172
2018_3110_3311,0.6576438
2018_3110_3323,0.048982907
2018_3110_3326,0.053599954
2018_3110_3328,0.35972527
2018_3110_3329,0.12921393
2018_3110_3332,0.056392282
2018_3110_3333,0.085945584
2018_3110_3343,0.2025408
2018_3110_3346,0.11103034
2018_3110_3355,0.12211226
2018_3110_3370,0.5721068
2018_3110_3376,0.044872187
2018_3110_3378,0.08919425
2018_3110_3384,0.3010386
2018_3110_3390,0.104109325
2018_3110_3393,0.13437082
2018_3110_3397,0.07366309
2018_3110_3400,0.043231975
2018_3110_3401,0.10556865
2018_3110_3417,0.06336685
2018_3110_3437,0.18186706
2018_3110_3438,0.424766
2018_3110_3443,0.24746126
2018_3110_3453,0.11671789
2018_3113_3114,0.8691797
2018_3113_3124,0.15391366
2018_3113_3125,0.49292803
2018_3113_3129,0.9088798
2018_3113_3138,0.6495557
2018_3113_3141,0.5434133
2018_3113_3143,0.48621538
2018_3113_3163,0.12751688
2018_3113_3166,0.7370543
2018_3113_3169,0.8496063
2018_3113_3173,0.62041456
2018_3113_3177,0.18079606
2018_3113_3179,0.61855346
2018_3113_3181,0.45817074
2018_3113_3189,0.84741634
2018_3113_3195,0.49247625
2018_3113_3199,0.23391528
2018_3113_3203,0.86919665
2018_3113_3208,0.44230813
2018_3113_3211,0.85484713
2018_3113_3212,0.8414257
2018_3113_3234,0.37297848
2018_3113_3251,0.8854399
2018_3113_3257,0.1389716
2018_3113_3261,0.49507025
2018_3113_3263,0.879814
2018_3113_3266,0.4466016
2018_3113_3268,0.30674952
2018_3113_3273,0.7754472
2018_3113_3274,0.5855557
2018_3113_3276,0.46564472
2018_3113_3278,0.42732227
2018_3113_3280,0.13156725
2018_3113_3281,0.45158702
2018_3113_3294,0.7393979
2018_3113_3299,0.86142594
2018_3113_3301,0.44571996
2018_3113_3304,0.7693484
2018_3113_3311,0.8600689
2018_3113_3323,0.20230535
2018_3113_3326,0.2193232
2018_3113_3328,0.6668579
2018_3113_3329,0.5173772
2018_3113_3332,0.13951206
2018_3113_3333,0.28798968
2018_3113_3343,0.7557744
2018_3113_3346,0.51849574
2018_3113_3355,0.40068436
2018_3113_3370,0.8597091
2018_3113_3376,0.23319308
2018_3113_3378,0.3617758
2018_3113_3384,0.8088547
2018_3113_3390,0.37492937
2018_3113_3393,0.5531053
2018_3113_3397,0.2513421
2018_3113_3400,0.19792998
2018_3113_3401,0.3868771
2018_3113_3417,0.3351716
2018_3113_3437,0.6682124
2018_3113_3438,0.69645125
2018_3113_3443,0.7133002
2018_3113_3453,0.58469594
2018_3114_3124,0.06590723
2018_3114_3125,0.17941873
2018_3114_3129,0.5627868
2018_3114_3138,0.22716063
2018_3114_3141,0.18562669
2018_3114_3143,0.26898623
2018_3114_3163,0.075130075
2018_3114_3166,0.31048465
2018_3114_3169,0.6872109
2018_3114_3173,0.18999162
2018_3114_3177,0.06657978
2018_3114_3179,0.29769352
2018_3114_3181,0.12871361
2018_3114_3189,0.36195555
2018_3114_3195,0.14670344
2018_3114_3199,0.06888637
2018_3114_3203,0.60285044
2018_3114_3208,0.12708414
2018_3114_3211,0.39583686
2018_3114_3212,0.645016
2018_3114_3234,0.1404552
2018_3114_3251,0.5582075
2018_3114_3257,0.042053714
2018_3114_3261,0.35758957
2018_3114_3263,0.5043474
2018_3114_3266,0.14472292
2018_3114_3268,0.09970104
2018_3114_3273,0.31918183
2018_3114_3274,0.27920154
2018_3114_3276,0.1398687
2018_3114_3278,0.12585455
2018_3114_3280,0.051477153
2018_3114_3281,0.12752002
2018_3114_3294,0.26301706
2018_3114_3299,0.62738115
2018_3114_3301,0.14779457
2018_3114_3304,0.30130863
2018_3114_3311,0.68494624
2018_3114_3323,0.059744958
2018_3114_3326,0.07466503
2018_3114_3328,0.4036255
2018_3114_3329,0.17098467
2018_3114_3332,0.0698622
2018_3114_3333,0.099962175
2018_3114_3343,0.2290064
2018_3114_3346,0.11775579
2018_3114_3355,0.15002424
2018_3114_3370,0.622564
2018_3114_3376,0.06345257
2018_3114_3378,0.11199373
2018_3114_3384,0.35752264
2018_3114_3390,0.13474742
2018_3114_3393,0.17068836
2018_3114_3397,0.10798658
2018_3114_3400,0.061574265
2018_3114_3401,0.12570767
2018_3114_3417,0.08830777
2018_3114_3437,0.21683672
2018_3114_3438,0.48360655
2018_3114_3443,0.27434188
2018_3114_3453,0.13698323
2018_3124_3125,0.72258365
2018_3124_3129,0.93629557
2018_3124_3138,0.8996186
2018_3124_3141,0.8462634
2018_3124_3143,0.85709804
2018_3124_3163,0.30068642
2018_3124_3166,0.8704007
2018_3124_3169,0.9476472
2018_3124_3173,0.87389064
2018_3124_3177,0.62102574
2018_3124_3179,0.7711129
2018_3124_3181,0.8016119
